ANZLIC_ID|PRODUCT_ID
ANZVI0803005555|4858
ANZVI0803005600|4889
ANZVI0803005593|4890
ANZVI0803005595|4891
ANZVI0803005594|4892
ANZVI0803005597|4893
ANZVI0803005596|4894
ANZVI0803005599|4895
ANZVI0803005598|4896
ANZVI0803005521|4821
ANZVI0803005433|4745
ANZVI0803005434|4746
ANZVI0803005435|4747
ANZVI0803005436|4748
ANZVI0803005444|4755
ANZVI0803005445|4756
ANZVI0803005448|4757
ANZVI0803005449|4758
ANZVI0803005446|4759
ANZVI0803005447|4760
ANZVI0803005454|4761
ANZVI0803005453|4762
ANZVI0803005456|4763
ANZVI0803005455|4764
ANZVI0803005450|4765
ANZVI0803005452|4766
ANZVI0803005451|4767
ANZVI0803005530|4828
ANZVI0803005601|4897
ANZVI0803005641|4925
ANZVI0803005640|4926
ANZVI0803005643|4927
ANZVI0803005642|4928
ANZVI0803005636|4929
ANZVI0803005635|4930
ANZVI0803005634|4931
ANZVI0803005639|4932
ANZVI0803005637|4933
ANZVI0803005638|4934
ANZVI0803005655|4943
ANZVI0803005656|4944
ANZVI0803005657|4945
ANZVI0803005711|6880
ANZVI0803005710|6881
ANZVI0803005712|6882
ANZVI0803002498|31270
ANZVI0803002507|31478
ANZVI0803002842|40017
ANZVI0803002860|40126
ANZVI0803003023|40202
ANZVI0803002521|40258
ANZVI0803001036|40740
ANZVI0803002979|40822
ANZVI0803002985|40961
ANZVI0803002992|41127
ANZVI0803002996|41295
ANZVI0803002737|41419
ANZVI0803002948|41585
ANZVI0803002163|41691
ANZVI0803002164|41766
ANZVI0803003003|41948
ANZVI0803002028|42008
ANZVI0803002549|42049
ANZVI0803002776|45743
ANZVI0803002242|43507
ANZVI0803002452|40813
ANZVI0803002698|42550
ANZVI0803004234|3518
ANZVI0803004235|3519
ANZVI0803004236|3520
ANZCW0703011415|3436
ANZVI0803004147|3447
ANZVI0803004146|3448
ANZVI0803004238|3521
ANZVI0803004241|3522
ANZVI0803004239|3523
ANZVI0803004242|3524
ANZVI0803004240|3525
ANZVI0803002834|44781
ANZVI0803002945|42334
ANZVI0803002989|41038
ANZVI0803003060|42890
ANZVI0803003612|743
ANZVI0803003614|745
ANZVI0803003616|747
