ANZLIC_ID|COLUMN_NAME|OBLIGATION|IS_UNIQUE|DATA_TYPE|DATA_LENGTH|DATA_PRECISION|DATA_SCALE|REFTAB_OWNER_NAME|REFTAB_TABLE_NAME|REFTAB_CODE_COLUMN_NAME|DESCRIPTION|COLUMN_NAME_10
ANZCW0703011415|AGAUTH|O|N|VARCHAR2|10|||||||AGAUTH
ANZCW0703011415|AGSTATUS|O|N|VARCHAR2|45|||||||AGSTATUS
ANZCW0703011415|AGTYPE|O|N|VARCHAR2|25|||||||AGTYPE
ANZCW0703011415|APPLICANT|O|N|VARCHAR2|50|||||||APPLICANT
ANZCW0703011415|AREASQKM|O|N|NUMBER|22|11|3|||||AREASQKM
ANZCW0703011415|CASEMGR|O|N|VARCHAR2|25|||||||CASEMGR
ANZCW0703011415|CONSENTFA|O|N|VARCHAR2|1|||||||CONSENTFA
ANZCW0703011415|DATASOURCE|O|N|VARCHAR2|60|||||||DATASOURCE
ANZCW0703011415|DATEASSIST|O|N|DATE|7|||||||DATEASSIST
ANZCW0703011415|DATECURR|O|N|DATE|7|||||||DATECURR
ANZCW0703011415|DATELODGED|O|N|DATE|7|||||||DATELODGED
ANZCW0703011415|DATENOTIF|O|N|DATE|7|||||||DATENOTIF
ANZCW0703011415|DATEREGD|O|N|DATE|7|||||||DATEREGD
ANZCW0703011415|GTREF|O|N|VARCHAR2|10|||||||GTREF
ANZCW0703011415|INTERMACTS|O|N|VARCHAR2|1|||||||INTERMACTS
ANZCW0703011415|JURIS|O|N|VARCHAR2|10|||||||JURIS
ANZCW0703011415|NAME|O|N|VARCHAR2|102|||||||NAME
ANZCW0703011415|NNTTSEQNO|O|N|VARCHAR2|14|||||||NNTTSEQNO
ANZCW0703011415|NOTIFCLOSE|O|N|DATE|7|||||||NOTIFCLOSE
ANZCW0703011415|OBJECTIND|O|N|VARCHAR2|1|||||||OBJECTIND
ANZCW0703011415|OVERLAP|O|N|VARCHAR2|20|||||||OVERLAP
ANZCW0703011415|REP|O|N|VARCHAR2|102|||||||REP
ANZCW0703011415|RTN|O|N|VARCHAR2|1|||||||RTN
ANZCW0703011415|S78ID|O|N|NUMBER|22|11|0|||||S78ID
ANZCW0703011415|SEAILUA|O|N|VARCHAR2|1|||||||SEAILUA
ANZCW0703011415|SHORTNAME|O|N|VARCHAR2|50|||||||SHORTNAME
ANZCW0703011415|SPTIALNOTE|O|N|VARCHAR2|120|||||||SPTIALNOTE
ANZCW0703011415|SURRAREAS|O|N|VARCHAR2|1|||||||SURRAREAS
ANZCW0703011415|TIMEFEND|O|N|DATE|7|||||||TIMEFEND
ANZCW0703011415|TIMEFSTART|O|N|DATE|7|||||||TIMEFSTART
ANZCW0703011415|TRIBNO|O|N|VARCHAR2|12|||||||TRIBNO
ANZCW0703011415|VALIDATEFA|O|N|VARCHAR2|1|||||||VALIDATEFA
ANZCW0703011415|ZONE12NM|O|N|VARCHAR2|1|||||||ZONE12NM
ANZCW0703011415|ZONE24NM|O|N|VARCHAR2|1|||||||ZONE24NM
ANZCW0703011415|ZONE3NM|O|N|VARCHAR2|1|||||||ZONE3NM
ANZCW0703011415|ZONEEEZ|O|N|VARCHAR2|1|||||||ZONEEEZ
ANZCW0703011415|ZONELWM|O|N|VARCHAR2|1|||||||ZONELWM
ANZVI0803000061|SEGMENTNAME|O|N|VARCHAR2|200|||||||
ANZVI0803000062|ELECTRIFIED|O|N|VARCHAR2|200|||||||
ANZVI0803000062|FACILITYNAME|O|N|VARCHAR2|200|||||||
ANZVI0803000062|GAUGE|O|N|VARCHAR2|200|||||||GAUGE
ANZVI0803000063|FACILITYNAME|O|N|VARCHAR2|75|||||||FACILITY
ANZVI0803000064|PLATFORMNBR|O|N|VARCHAR2|200|||||||PLATFORMNO
ANZVI0803000064|STATIONNAME|O|N|VARCHAR2|200|||||||STATION
ANZVI0803000320|COMMUTER_CAPACITY|O|N|VARCHAR2|200|||||||
ANZVI0803000320|STATION_NAME|O|N|VARCHAR2|200|||||||
ANZVI0803000321|CAPACITY|O|N|VARCHAR2|200|||||||CAPACITY
ANZVI0803000321|STATION_NAME|O|N|VARCHAR2|200|||||||STATION
