ANZLIC_ID|CATEGORY_NAME
ANZVI0803004569|Admin & Political Boundaries
ANZVI0803005790|Admin & Political Boundaries
ANZVI0803004206|Admin & Political Boundaries
ANZVI0803002317|Admin & Political Boundaries
ANZVI0803001005|Admin & Political Boundaries
ANZVI0803002932|Admin & Political Boundaries
ANZVI0803002933|Admin & Political Boundaries
ANZVI0803001052|Admin & Political Boundaries
ANZVI0803001053|Admin & Political Boundaries
ANZVI0803005805|Admin & Political Boundaries
ANZVI0803004304|Admin & Political Boundaries
ANZVI0803004305|Admin & Political Boundaries
ANZVI0803004303|Admin & Political Boundaries
ANZVI0803002028|Admin & Political Boundaries
ANZVI0803002784|Admin & Political Boundaries
ANZVI0803002894|Admin & Political Boundaries
ANZVI0803002895|Admin & Political Boundaries
ANZVI0803002857|Admin & Political Boundaries
ANZVI0803002858|Admin & Political Boundaries
ANZVI0803002859|Admin & Political Boundaries
ANZVI0803005912|Admin & Political Boundaries
ANZVI0803008472|Admin & Political Boundaries
ANZVI0803003049|Admin & Political Boundaries
ANZVI0803002780|Admin & Political Boundaries
ANZVI0803004266|Admin & Political Boundaries
ANZVI0803004916|Admin & Political Boundaries
ANZVI0803002850|Admin & Political Boundaries
ANZVI0803002950|Admin & Political Boundaries
ANZVI0803005830|Admin & Political Boundaries
ANZVI0803005831|Admin & Political Boundaries
ANZVI0803004306|Admin & Political Boundaries
ANZVI0803002843|Admin & Political Boundaries
ANZVI0803005632|Admin & Political Boundaries
ANZVI0803001039|Admin & Political Boundaries
ANZVI0803005156|Admin & Political Boundaries
ANZVI0803005859|Admin & Political Boundaries
ANZVI0803005832|Admin & Political Boundaries
ANZVI0803005815|Admin & Political Boundaries
ANZVI0803005688|Admin & Political Boundaries
ANZVI0803003006|Admin & Political Boundaries
ANZVI0803005816|Admin & Political Boundaries
ANZVI0803004707|Admin & Political Boundaries
ANZVI0803005882|Admin & Political Boundaries
ANZVI0803002529|Admin & Political Boundaries
ANZVI0803002864|Admin & Political Boundaries
ANZVI0803005748|Admin & Political Boundaries
ANZVI0803002507|Admin & Political Boundaries
ANZVI0803002531|Admin & Political Boundaries
ANZVI0803004758|Admin & Political Boundaries
ANZVI0803004759|Admin & Political Boundaries
ANZVI0803004761|Admin & Political Boundaries
ANZVI0803002905|Admin & Political Boundaries
ANZVI0803003027|Admin & Political Boundaries
ANZVI0803004776|Admin & Political Boundaries
ANZVI0803002716|Admin & Political Boundaries
ANZVI0803003025|Admin & Political Boundaries
ANZVI0803001047|Admin & Political Boundaries
ANZVI0803002613|Admin & Political Boundaries
ANZVI0803002630|Admin & Political Boundaries
ANZVI0803005249|Admin & Political Boundaries
ANZVI0803002614|Admin & Political Boundaries
ANZVI0803002625|Admin & Political Boundaries
ANZVI0803003063|Admin & Political Boundaries
ANZVI0803005250|Admin & Political Boundaries
ANZVI0803002717|Admin & Political Boundaries
ANZVI0803003034|Admin & Political Boundaries
ANZVI0803003062|Admin & Political Boundaries
ANZVI0803003590|Admin & Political Boundaries
ANZVI0803004720|Admin & Political Boundaries
ANZVI0803005649|Admin & Political Boundaries
ANZVI0803005786|Admin & Political Boundaries
ANZVI0803003600|Admin & Political Boundaries
ANZVI0803003519|Admin & Political Boundaries
ANZVI0803003531|Admin & Political Boundaries
ANZVI0803003520|Admin & Political Boundaries
ANZVI0803003521|Admin & Political Boundaries
ANZVI0803002913|Admin & Political Boundaries
ANZVI0803002910|Admin & Political Boundaries
ANZVI0803002914|Admin & Political Boundaries
ANZVI0803002912|Admin & Political Boundaries
ANZVI0803002909|Admin & Political Boundaries
ANZVI0803003091|Admin & Political Boundaries
ANZVI0803003138|Admin & Political Boundaries
ANZVI0803003161|Admin & Political Boundaries
ANZVI0803002919|Admin & Political Boundaries
ANZVI0803002928|Admin & Political Boundaries
ANZVI0803002927|Admin & Political Boundaries
ANZVI0803005824|Admin & Political Boundaries
ANZVI0803002141|Agriculture & Farming
ANZVI0803003718|Agriculture & Farming
ANZVI0803005002|Agriculture & Farming
ANZVI0803005001|Agriculture & Farming
ANZVI0803005003|Agriculture & Farming
ANZVI0803005000|Agriculture & Farming
ANZVI0803005628|Agriculture & Farming
ANZVI0803005629|Agriculture & Farming
ANZVI0803005630|Agriculture & Farming
ANZVI0803005631|Agriculture & Farming
ANZVI0803002372|Agriculture & Farming
ANZVI0803005823|Agriculture & Farming
ANZVI0803002584|Agriculture & Farming
ANZVI0803004323|Agriculture & Farming
ANZVI0803004698|Agriculture & Farming
ANZVI0803002863|Agriculture & Farming
ANZVI0803004932|Agriculture & Farming
ANZVI0803003056|Agriculture & Farming
ANZVI0803004925|Agriculture & Farming
ANZVI0803004926|Agriculture & Farming
ANZVI0803004930|Agriculture & Farming
ANZVI0803005825|Agriculture & Farming
ANZVI0803002780|Agriculture & Farming
ANZVI0803004266|Agriculture & Farming
ANZVI0803004916|Agriculture & Farming
ANZVI0803004265|Agriculture & Farming
ANZVI0803004917|Agriculture & Farming
ANZVI0803002334|Agriculture & Farming
ANZVI0803002331|Agriculture & Farming
ANZVI0803002337|Agriculture & Farming
ANZVI0803004899|Agriculture & Farming
ANZVI0803005601|Agriculture & Farming
ANZVI0803002197|Agriculture & Farming
ANZVI0803002206|Agriculture & Farming
ANZVI0803005522|Agriculture & Farming
ANZVI0803005882|Agriculture & Farming
ANZVI0803003964|Agriculture & Farming
ANZVI0803004754|Agriculture & Farming
ANZVI0803005921|Atmosphere & Climate
ANZVI0803004269|Atmosphere & Climate
ANZVI0803005604|Atmosphere & Climate
ANZVI0803005605|Atmosphere & Climate
ANZVI0803005606|Atmosphere & Climate
ANZVI0803005607|Atmosphere & Climate
ANZVI0803005602|Atmosphere & Climate
ANZVI0803005603|Atmosphere & Climate
ANZVI0803005608|Atmosphere & Climate
ANZVI0803005609|Atmosphere & Climate
ANZVI0803005610|Atmosphere & Climate
ANZVI0803005611|Atmosphere & Climate
ANZVI0803005637|Atmosphere & Climate
ANZVI0803005635|Atmosphere & Climate
ANZVI0803005636|Atmosphere & Climate
ANZVI0803005634|Atmosphere & Climate
ANZVI0803005641|Atmosphere & Climate
ANZVI0803005642|Atmosphere & Climate
ANZVI0803005643|Atmosphere & Climate
ANZVI0803004726|Atmosphere & Climate
ANZVI0803004727|Atmosphere & Climate
ANZVI0803004728|Atmosphere & Climate
ANZVI0803004731|Atmosphere & Climate
ANZVI0803004729|Atmosphere & Climate
ANZVI0803004732|Atmosphere & Climate
ANZVI0803004730|Atmosphere & Climate
ANZVI0803004733|Atmosphere & Climate
ANZVI0803005422|Atmosphere & Climate
ANZVI0803005423|Atmosphere & Climate
ANZVI0803005424|Atmosphere & Climate
ANZVI0803005421|Atmosphere & Climate
ANZVI0803005418|Atmosphere & Climate
ANZVI0803005419|Atmosphere & Climate
ANZVI0803005420|Atmosphere & Climate
ANZVI0803005417|Atmosphere & Climate
ANZVI0803002149|Biology & Ecology
ANZVI0803002019|Biology & Ecology
ANZVI0803005507|Biology & Ecology
ANZVI0803005509|Biology & Ecology
ANZVI0803002822|Biology & Ecology
ANZVI0803005303|Biology & Ecology
ANZVI0803005363|Biology & Ecology
ANZVI0803005489|Biology & Ecology
ANZVI0803005785|Biology & Ecology
ANZVI0803005510|Biology & Ecology
ANZVI0803005529|Biology & Ecology
ANZVI0803003698|Biology & Ecology
ANZVI0803003496|Biology & Ecology
ANZVI0803003495|Biology & Ecology
ANZVI0803003404|Biology & Ecology
ANZVI0803004100|Biology & Ecology
ANZVI0803004101|Biology & Ecology
ANZVI0803004102|Biology & Ecology
ANZVI0803004103|Biology & Ecology
